experiment_id,timestamp,image,condition,cer,wer,model,inference_mode,notes
EXP-005-deskewed-MT-016,2026-09-17,MT (MT-016),deskewed,0.2959,0.6,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,hyp experiments/results/sweep/EXP-005_deskewed_MT-016_hyp.txt
EXP-005-deskewed-MT-017,2026-09-17,MT (MT-017),deskewed,0.5,1.0,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,hyp experiments/results/sweep/EXP-005_deskewed_MT-017_hyp.txt
EXP-005-deskewed-MT-018,2026-09-17,MT (MT-018),deskewed,0.3611,0.7931,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,hyp experiments/results/sweep/EXP-005_deskewed_MT-018_hyp.txt
EXP-005-deskewed-MT-019,2026-09-17,MT (MT-019),deskewed,0.2365,0.65,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,hyp experiments/results/sweep/EXP-005_deskewed_MT-019_hyp.txt
EXP-005-deskewed-MT-020,2026-09-17,MT (MT-020),deskewed,0.2563,0.6923,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,hyp experiments/results/sweep/EXP-005_deskewed_MT-020_hyp.txt
EXP-005-full_restoration-MT-001,2026-09-17,MT (MT-001),full_restoration,0.1351,0.381,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,hyp experiments/results/sweep/EXP-005_full_restoration_MT-001_hyp.txt
EXP-005-full_restoration-MT-002,2026-09-17,MT (MT-002),full_restoration,0.2418,0.4286,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,hyp experiments/results/sweep/EXP-005_full_restoration_MT-002_hyp.txt
EXP-005-full_restoration-MT-003,2026-09-17,MT (MT-003),full_restoration,0.625,1.0,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,hyp experiments/results/sweep/EXP-005_full_restoration_MT-003_hyp.txt
EXP-005-full_restoration-MT-004,2026-09-17,MT (MT-004),full_restoration,0.1211,0.4667,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,hyp experiments/results/sweep/EXP-005_full_restoration_MT-004_hyp.txt
EXP-005-full_restoration-MT-005,2026-09-17,MT (MT-005),full_restoration,0.4454,0.9,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,hyp experiments/results/sweep/EXP-005_full_restoration_MT-005_hyp.txt
EXP-005-full_restoration-MT-006,2026-09-17,MT (MT-006),full_restoration,0.4602,0.9,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,hyp experiments/results/sweep/EXP-005_full_restoration_MT-006_hyp.txt
EXP-005-full_restoration-MT-007,2026-09-17,MT (MT-007),full_restoration,0.4932,0.6923,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,hyp experiments/results/sweep/EXP-005_full_restoration_MT-007_hyp.txt
EXP-005-full_restoration-MT-008,2026-09-17,MT (MT-008),full_restoration,0.5674,0.8519,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,hyp experiments/results/sweep/EXP-005_full_restoration_MT-008_hyp.txt
EXP-005-full_restoration-MT-009,2026-09-17,MT (MT-009),full_restoration,0.4354,0.9231,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,hyp experiments/results/sweep/EXP-005_full_restoration_MT-009_hyp.txt
EXP-005-full_restoration-MT-010,2026-09-17,MT (MT-010),full_restoration,0.3873,0.7619,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,hyp experiments/results/sweep/EXP-005_full_restoration_MT-010_hyp.txt
EXP-005-full_restoration-MT-011,2026-09-17,MT (MT-011),full_restoration,0.7786,1.0,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,hyp experiments/results/sweep/EXP-005_full_restoration_MT-011_hyp.txt
EXP-005-full_restoration-MT-012,2026-09-17,MT (MT-012),full_restoration,0.2258,0.7333,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,hyp experiments/results/sweep/EXP-005_full_restoration_MT-012_hyp.txt
EXP-005-full_restoration-MT-013,2026-09-17,MT (MT-013),full_restoration,0.3473,0.8148,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,hyp experiments/results/sweep/EXP-005_full_restoration_MT-013_hyp.txt
EXP-005-full_restoration-MT-014,2026-09-17,MT (MT-014),full_restoration,0.1046,0.4545,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,hyp experiments/results/sweep/EXP-005_full_restoration_MT-014_hyp.txt
EXP-005-full_restoration-MT-015,2026-09-17,MT (MT-015),full_restoration,0.1404,0.4286,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,hyp experiments/results/sweep/EXP-005_full_restoration_MT-015_hyp.txt
EXP-005-full_restoration-MT-016,2026-09-17,MT (MT-016),full_restoration,0.2959,0.6333,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,hyp experiments/results/sweep/EXP-005_full_restoration_MT-016_hyp.txt
EXP-005-full_restoration-MT-017,2026-09-17,MT (MT-017),full_restoration,0.3942,1.0,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,hyp experiments/results/sweep/EXP-005_full_restoration_MT-017_hyp.txt
EXP-005-full_restoration-MT-018,2026-09-17,MT (MT-018),full_restoration,0.3889,0.8276,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,hyp experiments/results/sweep/EXP-005_full_restoration_MT-018_hyp.txt
EXP-005-full_restoration-MT-019,2026-09-17,MT (MT-019),full_restoration,0.2709,0.65,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,hyp experiments/results/sweep/EXP-005_full_restoration_MT-019_hyp.txt
EXP-005-full_restoration-MT-020,2026-09-17,MT (MT-020),full_restoration,0.3216,0.7179,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,hyp experiments/results/sweep/EXP-005_full_restoration_MT-020_hyp.txt
EXP-006-01,2026-09-17,MT-021,original,0.297,0.769,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,50.4s warm; S28/D3/I13
EXP-006-02,2026-09-17,MT-022,original,0.237,0.704,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,37.4s warm; S36/D5/I4
EXP-006-03,2026-09-17,MT-023,original,0.305,0.676,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,54.2s warm; S45/D19/I7
EXP-006-04,2026-09-17,MT-024,original,0.346,0.641,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,50.4s warm; S51/D8/I22
EXP-006-05,2026-09-17,MT-025,original,0.13,0.438,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,33.6s warm; S13/D3/I10
EXP-006-06,2026-09-17,MT-026,original,0.415,0.947,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,38.3s warm; S63/D12/I22
EXP-006-07,2026-09-17,MT-027,original,0.209,0.611,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,42.1s warm; S33/D8/I8
EXP-006-08,2026-09-17,MT-028,original,0.233,0.581,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,32.2s warm; S23/D10/I9
EXP-006-09,2026-09-17,MT-029,original,0.26,0.696,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,39.0s warm; S39/D5/I24
EXP-006-10,2026-09-17,MT-030,original,0.338,0.655,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,44.0s warm; S48/D13/I39
EXP-006-11,2026-09-17,MT-031,original,0.464,0.792,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,79.3s warm; S79/D16/I32
EXP-006-12,2026-09-17,MT-032,original,0.576,0.706,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,19.7s warm; S15/D22/I20
EXP-006-13,2026-09-17,MT-033,original,0.254,0.529,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,22.2s warm; S14/D13/I3
EXP-006-14,2026-09-17,MT-034,original,0.387,0.696,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,37.6s warm; S53/D10/I31
EXP-006-15,2026-09-17,MT-035,original,0.416,0.9,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,41.5s warm; S60/D16/I15
EXP-006-16,2026-09-17,MT-036,original,0.149,0.471,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,33.1s warm; S16/D4/I10
EXP-006-17,2026-09-17,MT-037,original,0.284,0.675,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,35.1s warm; S44/D5/I13
EXP-006-18,2026-09-17,MT-038,original,0.912,1.0,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,43.2s warm; S179/D28/I12
EXP-006-19,2026-09-17,MT-039,original,0.272,0.591,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,32.8s warm; S14/D14/I6
EXP-006-20,2026-09-17,MT-040,original,0.433,0.814,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,41.9s warm; S69/D18/I16
EXP-006-21,2026-09-17,MT-041,original,0.283,0.667,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,43.3s warm; S35/D13/I25
EXP-006-22,2026-09-17,MT-042,original,0.044,0.143,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,18.3s warm; S3/D1/I0
EXP-006-23,2026-09-17,MT-043,original,0.129,0.391,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,25.9s warm; S9/D0/I11
EXP-006-24,2026-09-17,MT-044,original,0.073,0.185,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,26.2s warm; S9/D0/I2
EXP-006-25,2026-09-17,MT-045,original,0.345,0.538,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,28.8s warm; S27/D14/I9
EXP-006-26,2026-09-17,MT-046,original,0.093,0.364,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,24.1s warm; S7/D4/I1
EXP-006-27,2026-09-17,MT-047,original,0.17,0.5,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,27.6s warm; S13/D7/I6
EXP-006-28,2026-09-17,MT-048,original,0.026,0.2,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,15.2s warm; S2/D0/I0
EXP-006-29,2026-09-17,MT-049,original,0.335,0.786,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,31.0s warm; S45/D7/I8
EXP-006-30,2026-09-17,MT-050,original,0.434,0.829,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,32.0s warm; S65/D5/I19
